"","2020-03-29","2020-04-05","2020-04-12","2020-04-19","2020-04-26","2020-05-03","2020-05-10","2020-05-17","2020-05-24","2020-05-31","2020-06-07","2020-06-14","2020-06-21","2020-06-28","2020-07-05","2020-07-12","2020-07-19","2020-07-26","2020-08-02","2020-08-09","2020-08-16","2020-08-23","2020-08-30","2020-09-06","2020-09-13","2020-09-20","2020-09-27","2020-10-04","2020-10-11","2020-10-18","2020-10-25","2020-11-01","2020-11-08","2020-11-15","2020-11-22","2020-11-29","2020-12-06","2020-12-13","2020-12-20","2020-12-27","2021-01-03","2021-01-10","2021-01-17","2021-01-24","2021-01-31","2021-02-07","2021-02-14","2021-02-21","2021-02-28","2021-03-07","2021-03-14","2021-03-21","2021-03-28","2021-04-04","2021-04-11","2021-04-18","2021-04-25","2021-05-02","2021-05-09","2021-05-16","2021-05-23","2021-05-30","2021-06-06","2021-06-13","2021-06-20","2021-06-27","2021-07-04","2021-07-11","2021-07-18","2021-07-25","2021-08-01","2021-08-08","2021-08-15","2021-08-22","2021-08-29"
"Other",0.191,0.21,0.247,0.299,0.351,0.39,0.4,0.391,0.38,0.371,0.365,0.36,0.357,0.358,0.365,0.376,0.389,0.405,0.426,0.448,0.467,0.482,0.487,0.484,0.47,0.444,0.41,0.371,0.331,0.293,0.259,0.229,0.201,0.176,0.153,0.134,0.12,0.109,0.101,0.096,0.094,0.097,0.1,0.103,0.104,0.102,0.099,0.095,0.088,0.08,0.068,0.054,0.04,0.027,0.017,0.011,0.009,0.007,0.007,0.008,0.009,0.012,0.017,0.022,0.028,0.03,0.028,0.022,0.016,0.011,0.007,0.005,0.003,0.002,0.001
"AY.12",0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.004,0.008,0.016,0.026,0.037,0.045,0.048,0.046,0.041,0.035,0.03,0.024,0.019,0.015
"AY.14",0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.005,0.01,0.017,0.025,0.032,0.035,0.035,0.031,0.027,0.023,0.018,0.014,0.01
"AY.20",0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.004,0.008,0.012,0.016,0.02,0.024,0.026,0.028,0.029,0.028,0.026,0.024
"AY.24",0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.004,0.007,0.011,0.014,0.018,0.022,0.029,0.038,0.05,0.065,0.086
"AY.25",0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.005,0.012,0.024,0.049,0.085,0.123,0.148,0.158,0.162,0.165,0.168,0.171,0.165,0.146,0.124
"AY.3",0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.006,0.012,0.022,0.035,0.05,0.064,0.077,0.09,0.102,0.116,0.126,0.129,0.125
"AY.4",0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.004,0.007,0.01,0.013,0.015,0.018,0.021,0.024,0.027,0.029,0.03,0.03
"B.1",0.736,0.721,0.69,0.644,0.599,0.568,0.563,0.575,0.589,0.599,0.605,0.609,0.609,0.605,0.594,0.578,0.557,0.532,0.499,0.463,0.426,0.39,0.357,0.327,0.3,0.275,0.25,0.223,0.194,0.165,0.14,0.119,0.104,0.092,0.085,0.08,0.078,0.078,0.079,0.081,0.082,0.08,0.076,0.069,0.057,0.044,0.032,0.023,0.016,0.012,0.009,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1",0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.006,0.006,0.008,0.009,0.01,0.011,0.013,0.014,0.016,0.018,0.02,0.022,0.025,0.029,0.033,0.038,0.044,0.049,0.055,0.06,0.064,0.063,0.059,0.05,0.039,0.028,0.02,0.014,0.01,0.007,0.004,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.434",0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.008,0.009,0.011,0.013,0.016,0.02,0.025,0.031,0.038,0.046,0.056,0.068,0.081,0.093,0.104,0.113,0.118,0.12,0.118,0.113,0.105,0.094,0.083,0.072,0.062,0.053,0.046,0.039,0.034,0.028,0.023,0.019,0.015,0.012,0.009,0.007,0.005,0.003,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.519",0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.008,0.009,0.012,0.015,0.019,0.023,0.028,0.032,0.034,0.035,0.035,0.035,0.034,0.033,0.029,0.022,0.015,0.01,0.008,0.005,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
"B.1.1.7",0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.005,0.007,0.009,0.013,0.019,0.028,0.042,0.058,0.078,0.098,0.119,0.141,0.163,0.199,0.261,0.359,0.481,0.594,0.644,0.659,0.67,0.667,0.648,0.629,0.604,0.56,0.479,0.363,0.234,0.128,0.061,0.028,0.012,0.005,0.002,0.001,0,0
"B.1.2",0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.01,0.012,0.015,0.019,0.023,0.028,0.035,0.043,0.052,0.062,0.073,0.085,0.095,0.105,0.116,0.127,0.138,0.149,0.159,0.167,0.17,0.171,0.17,0.169,0.166,0.163,0.161,0.16,0.163,0.17,0.18,0.189,0.188,0.166,0.12,0.071,0.037,0.02,0.011,0.007,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0
"B.1.234",0.004,0.004,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.005,0.005,0.006,0.007,0.008,0.009,0.011,0.013,0.015,0.017,0.019,0.021,0.023,0.024,0.026,0.027,0.028,0.029,0.029,0.029,0.029,0.028,0.028,0.029,0.03,0.031,0.033,0.034,0.034,0.033,0.031,0.028,0.024,0.019,0.015,0.01,0.006,0.003,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.243",0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.007,0.008,0.01,0.013,0.017,0.021,0.027,0.034,0.044,0.057,0.074,0.095,0.122,0.153,0.188,0.223,0.256,0.285,0.311,0.332,0.349,0.361,0.368,0.372,0.37,0.362,0.344,0.311,0.27,0.23,0.194,0.166,0.143,0.122,0.104,0.086,0.068,0.05,0.032,0.018,0.008,0.004,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.311",0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.01,0.011,0.014,0.017,0.02,0.024,0.029,0.034,0.041,0.047,0.054,0.06,0.065,0.068,0.07,0.071,0.072,0.072,0.072,0.071,0.07,0.068,0.066,0.065,0.066,0.066,0.064,0.06,0.054,0.047,0.039,0.032,0.025,0.019,0.014,0.009,0.005,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.525",0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.004,0.005,0.006,0.007,0.007,0.008,0.008,0.008,0.009,0.009,0.01,0.009,0.008,0.007,0.005,0.003,0.002,0.001,0.001,0,0,0,0,0
"B.1.526",0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.007,0.009,0.01,0.013,0.017,0.022,0.03,0.04,0.053,0.068,0.085,0.102,0.118,0.133,0.15,0.168,0.187,0.204,0.201,0.178,0.17,0.169,0.167,0.167,0.168,0.156,0.136,0.11,0.082,0.055,0.032,0.016,0.008,0.003,0.001,0.001,0,0,0,0
"B.1.575",0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.008,0.01,0.012,0.016,0.021,0.029,0.037,0.046,0.055,0.061,0.064,0.065,0.063,0.058,0.05,0.039,0.026,0.016,0.009,0.006,0.003,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.596",0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.009,0.011,0.012,0.015,0.018,0.021,0.026,0.033,0.039,0.045,0.048,0.047,0.044,0.038,0.031,0.025,0.018,0.012,0.008,0.004,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.617.2",0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.004,0.005,0.008,0.014,0.023,0.04,0.069,0.121,0.196,0.29,0.381,0.451,0.492,0.509,0.51,0.502,0.505,0.525,0.549
"B.1.621",0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.003,0.005,0.008,0.011,0.017,0.022,0.026,0.032,0.038,0.044,0.049,0.052,0.049,0.04,0.027,0.016,0.009,0.005,0.002,0.001,0.001,0,0
"B.1.637",0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.008,0.011,0.014,0.019,0.024,0.031,0.037,0.041,0.045,0.046,0.047,0.045,0.04,0.034,0.031,0.03,0.029,0.028,0.028,0.027,0.025,0.023,0.019,0.014,0.009,0.005,0.003,0.001,0.001,0,0,0,0,0
"Other Alpha",0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0
"Other Beta",0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.004,0.004,0.005,0.005,0.004,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0,0,0,0,0,0,0,0
"Other Delta",0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.003,0.005,0.009,0.017,0.027,0.038,0.047,0.052,0.054,0.055,0.054,0.052,0.047,0.04,0.034
"Other Epsilon",0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.012,0.012,0.012,0.011,0.008,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0
"Other Gamma",0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.007,0.007,0.006,0.005,0.004,0.003,0.002,0.001,0.001,0,0,0,0,0
"Other Kappa",0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0
"Other Mu",0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"P.1",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.004,0.006,0.011,0.018,0.026,0.033,0.039,0.043,0.044,0.045,0.049,0.055,0.062,0.067,0.068,0.061,0.048,0.033,0.02,0.011,0.006,0.004,0.002,0.001,0.001,0
"P.1.2",0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.003,0.004,0.004,0.005,0.006,0.008,0.009,0.011,0.012,0.013,0.013,0.011,0.008,0.005,0.003,0.002,0.001,0,0,0,0,0
"R.1",0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.007,0.009,0.013,0.017,0.023,0.03,0.038,0.045,0.052,0.056,0.057,0.051,0.041,0.028,0.018,0.013,0.01,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.007,0.005,0.004,0.002,0.001,0.001,0,0,0,0,0
